Date,ExchangeRate
2021-06-15,1.2188
2021-06-16,1.2191
2021-06-17,1.2341
2021-06-18,1.2419
2021-06-21,1.2377
2021-06-22,1.2356
2021-06-23,1.2287
2021-06-24,1.2316
2021-06-25,1.2294
2021-06-28,1.2335
2021-06-29,1.2384
2021-06-30,1.2394
2021-07-02,1.2353
2021-07-05,1.2343
2021-07-06,1.2446
2021-07-07,1.2475
2021-07-08,1.254
2021-07-09,1.2476
2021-07-12,1.2471
2021-07-13,1.2514
2021-07-14,1.2497
2021-07-15,1.2572
2021-07-16,1.2593
2021-07-19,1.2759
2021-07-20,1.273
2021-07-21,1.2589
2021-07-22,1.2567
2021-07-23,1.2575
2021-07-26,1.2549
2021-07-27,1.2578
2021-07-28,1.2566
2021-07-29,1.245
2021-07-30,1.2462
2021-08-03,1.2545
2021-08-04,1.2545
2021-08-05,1.2497
2021-08-06,1.255
2021-08-09,1.2565
2021-08-10,1.254
2021-08-11,1.2506
2021-08-12,1.252
2021-08-13,1.2514
2021-08-16,1.2569
2021-08-17,1.2623
2021-08-18,1.263
2021-08-19,1.2792
2021-08-20,1.2856
2021-08-23,1.2682
2021-08-24,1.2608
2021-08-25,1.2619
2021-08-26,1.2651
2021-08-27,1.2635
2021-08-30,1.2603
2021-08-31,1.2617
2021-09-01,1.2607
2021-09-02,1.2573
2021-09-03,1.2518
2021-09-07,1.2621
2021-09-08,1.2676
2021-09-09,1.2654
2021-09-10,1.2631
2021-09-13,1.2662
2021-09-14,1.2661
2021-09-15,1.2651
2021-09-16,1.2674
2021-09-17,1.2721
2021-09-20,1.2828
2021-09-21,1.2801
2021-09-22,1.2756
2021-09-23,1.2653
2021-09-24,1.268
2021-09-27,1.2637
2021-09-28,1.268
2021-09-29,1.2741
2021-10-01,1.2654
2021-10-04,1.2583
2021-10-05,1.2575
2021-10-06,1.2613
2021-10-07,1.2558
2021-10-08,1.2482
2021-10-12,1.2461
2021-10-13,1.2445
2021-10-14,1.2372
2021-10-15,1.2379
2021-10-18,1.2375
2021-10-19,1.2357
2021-10-20,1.2329
2021-10-21,1.2351
2021-10-22,1.2357
2021-10-25,1.2379
2021-10-26,1.2376
2021-10-27,1.2358
2021-10-28,1.2349
2021-10-29,1.2384
2021-11-01,1.2368
2021-11-02,1.2404
2021-11-03,1.2417
2021-11-04,1.2449
2021-11-05,1.2452
2021-11-08,1.2449
2021-11-09,1.2448
2021-11-10,1.2452
2021-11-12,1.2565
2021-11-15,1.2517
2021-11-16,1.255
2021-11-17,1.2595
2021-11-18,1.2615
2021-11-19,1.2639
2021-11-22,1.268
2021-11-23,1.2707
2021-11-24,1.2677
2021-11-25,1.2654
2021-11-26,1.2771
2021-11-29,1.2765
2021-11-30,1.2792
2021-12-01,1.2776
2021-12-02,1.2815
2021-12-03,1.2812
2021-12-06,1.278
2021-12-07,1.266
2021-12-08,1.2642
2021-12-09,1.27
2021-12-10,1.2714
2021-12-13,1.2791
2021-12-14,1.2845
2021-12-15,1.2893
2021-12-16,1.2782
2021-12-17,1.2846
2021-12-20,1.2942
2021-12-21,1.2927
2021-12-22,1.2865
2021-12-23,1.2816
2021-12-24,1.2813
2021-12-29,1.2804
2021-12-30,1.2776
2021-12-31,1.2678
2022-01-04,1.2708
2022-01-05,1.2717
2022-01-06,1.2741
2022-01-07,1.2666
2022-01-10,1.2679
2022-01-11,1.2606
2022-01-12,1.251
2022-01-13,1.2484
2022-01-14,1.2545
2022-01-17,1.252
2022-01-18,1.2529
2022-01-19,1.2492
2022-01-20,1.2474
2022-01-21,1.2545
2022-01-24,1.2656
2022-01-25,1.2629
2022-01-26,1.2606
2022-01-27,1.2712
2022-01-28,1.2772
2022-01-31,1.2719
2022-02-01,1.2694
2022-02-02,1.2677
2022-02-03,1.2679
2022-02-04,1.2758
2022-02-07,1.2688
2022-02-08,1.2709
2022-02-09,1.268
2022-02-10,1.2682
2022-02-11,1.2702
2022-02-14,1.2738
2022-02-15,1.2741
2022-02-16,1.2686
2022-02-17,1.2695
2022-02-18,1.2734
2022-02-22,1.2743
2022-02-23,1.2718
2022-02-24,1.2832
2022-02-25,1.2747
2022-02-28,1.2698
2022-03-01,1.2708
2022-03-02,1.2668
